text,label,label_encoded
I made good notes but didn't have time to revise them as much as I wanted.,Moderate,1
The exam doesn't scare me. I've been studying regularly and I feel prepared.,Low,0
Feeling calm and collected. I've done enough revision and I trust my preparation.,Low,0
No stress here. I'm taking it one question at a time and trusting my knowledge.,Low,0
I'm managing my stress but it takes conscious effort. I hope I can stay calm during the exam.,Moderate,1
"I've prepared smart, not just hard. I feel efficient and confident.",Low,0
I know I'm ready. I've worked hard this semester and it shows in my practice.,Low,0
My teacher said I'm well-prepared and that gives me more confidence.,Low,0
I'm in a good headspace for the exam. My revision plan worked out perfectly.,Low,0
My anxiety is through the roof. I can't concentrate on anything anymore.,High,2
I feel light and unburdened. My revision was thorough and effective.,Low,0
I feel a knot in my stomach when I think about the exam but I'm trying to stay positive.,Moderate,1
"The anxiety has made me completely shut down. I can't study, eat, or sleep.",High,2
I feel somewhat ready but the weight of expectations is heavy.,Moderate,1
I'm taking it one day at a time but the exam date is approaching fast and it worries me.,Moderate,1
I feel a constant sense of dread that won't go away no matter what I try.,High,2
My preparation is decent but I'm worried about time management during the test.,Moderate,1
"I think I'll do okay, but some topics still feel a bit unclear to me.",Moderate,1
My anxiety is so bad that I've started avoiding my study group entirely.,High,2
I feel like throwing up. My body physically reacts to the thought of failing.,High,2
I'm grateful for the study resources I had. I feel more than ready.,Low,0
I feel like I've hit rock bottom. The exam anxiety has consumed everything.,High,2
I feel unsure about a few key topics and it's making me anxious overall.,Moderate,1
I'm sobbing uncontrollably. I feel so stupid and unprepared for this exam.,High,2
The thought of entering the exam hall makes me want to run away.,High,2
I'm not overthinking it. I know what I know and I'll give it my best shot.,Low,0
I studied well for some subjects but this particular one makes me really anxious.,Moderate,1
"I genuinely enjoy this subject, so the exam feels more like a fun challenge.",Low,0
I'm concerned about my performance but I'm trying to focus on what I know.,Moderate,1
I feel so much dread that I've considered not showing up for the exam at all.,High,2
I wake up with a pit in my stomach every single morning because of exams.,High,2
I've been consistently scoring well in mock tests. I'm confident.,Low,0
I think I can pass but getting a good grade feels uncertain right now.,Moderate,1
I'm a little nervous but mostly excited. I know the content well enough.,Low,0
I can't stop thinking about what will happen if I fail. It consumes my every thought.,High,2
I revised a lot but I still feel like I could have done more. It's unsettling.,Moderate,1
I know panicking won't help but I can't seem to fully relax either.,Moderate,1
I feel like there's too much to remember and not enough time to recall it all.,Moderate,1
I'm looking forward to the exam. I know I've put in the work and it will pay off.,Low,0
I'm calm and focused. I know what to expect and I've prepared accordingly.,Low,0
I can't control my thoughts. They spiral into catastrophic scenarios constantly.,High,2
"Honestly, I feel good. I even helped a friend study, so I know the material well.",Low,0
I keep imagining worst-case scenarios about the exam and it makes me anxious.,Moderate,1
I'm a bit nervous but it's a healthy kind of nervous. I'm ready.,Moderate,1
I feel paralyzed with fear. I opened my textbook but I just stared at it blankly.,High,2
I trust the process. I studied hard and now it's time to show it.,Low,0
I've practiced all the past papers and I feel confident about my answers.,Low,0
I feel like the walls are closing in on me. The exam stress is unbearable.,High,2
"I've been doing well in practice tests, so I'm not anxious about the real one.",Low,0
I studied hard but I'm still not sure if I focused on the right things.,Moderate,1
I reviewed all my notes and feel good about the material. Bring it on!,Low,0
Feeling positive and motivated. The exam is just another step forward.,Low,0
The anxiety is so intense that I want to skip the exam altogether.,High,2
I feel calm because I followed a structured study plan for weeks.,Low,0
My preparation has been consistent. I'm confident in my understanding.,Low,0
I feel anxious but I'm managing it. Just hoping for the best.,Moderate,1
I'm actually excited about the exam. I want to show what I've learned.,Low,0
I studied but couldn't cover the optional topics. I hope they're not on the exam.,Moderate,1
I feel mentally sharp and ready. I got enough rest and did my final review.,Low,0
